"Subject","bin","type","mean"
2003,5,"rand_global",-1593.66666666667
2004,5,"rand_global",1866.31899641577
2006,5,"rand_global",684.069444444444
2007,5,"rand_global",1582.41218637993
2009,5,"rand_global",-95.3589743589744
2010,5,"rand_global",4.69124423963126
2011,5,"rand_global",1914.40079365079
2012,5,"rand_global",917.032258064516
2015,5,"rand_global",859.917562724014
2016,5,"rand_global",-236.433333333333
2017,5,"rand_global",980.551971326165
2019,5,"rand_global",831.732142857143
2020,5,"rand_global",9.75268817204301
2021,5,"rand_global",1157.375
2022,5,"rand_global",1906.93548387097
2023,5,"rand_global",1206.25161290323
2024,5,"rand_global",1929.53571428571
2025,5,"rand_global",2220.53405017921
2026,5,"rand_global",796.741935483871
2027,5,"rand_global",1616.83333333333
2028,5,"rand_global",1149.22258064516
2029,5,"rand_global",1069.97777777778
2031,5,"rand_global",1066.17562724014
2032,5,"rand_global",1354.54406130268
2001,6,"rand_global",734.739130434783
2002,6,"rand_global",257.730769230769
2003,6,"rand_global",-1632.81481481481
2004,6,"rand_global",3549.43010752688
2006,6,"rand_global",580.68100358423
2007,6,"rand_global",1495.3835125448
2009,6,"rand_global",312.294871794872
2010,6,"rand_global",304.082949308756
2011,6,"rand_global",1788.98015873016
2012,6,"rand_global",1838.94444444444
2015,6,"rand_global",641.63440860215
2016,6,"rand_global",-249.466666666667
2017,6,"rand_global",1634.5770609319
2019,6,"rand_global",1103.94642857143
2020,6,"rand_global",52.2258064516127
2021,6,"rand_global",1019.72685185185
2022,6,"rand_global",2561.95340501792
2023,6,"rand_global",1555.15483870968
2024,6,"rand_global",3113.71428571429
2025,6,"rand_global",2744.79211469534
2026,6,"rand_global",447.347670250896
2027,6,"rand_global",1990.57777777778
2028,6,"rand_global",955.833333333333
2029,6,"rand_global",1338.72222222222
2031,6,"rand_global",1704.61290322581
2032,6,"rand_global",1199.06896551724
2001,1,"alt_global",376.947826086956
2002,1,"alt_global",651.689814814815
2003,1,"alt_global",-292.708333333333
2004,1,"alt_global",586.190972222222
2006,1,"alt_global",612.48125
2007,1,"alt_global",933.344086021505
2009,1,"alt_global",-260.518518518519
2010,1,"alt_global",-6.18730158730159
2011,1,"alt_global",739.012931034483
2012,1,"alt_global",606.161290322581
2015,1,"alt_global",509.73125
2016,1,"alt_global",-110.68202764977
2017,1,"alt_global",547.30625
2019,1,"alt_global",447.655172413793
2020,1,"alt_global",-87.5253456221199
2021,1,"alt_global",500.777777777778
2022,1,"alt_global",716.775
2023,1,"alt_global",405.18125
2024,1,"alt_global",648.31724137931
2025,1,"alt_global",865.95
2026,1,"alt_global",472.254838709677
2027,1,"alt_global",1176.03225806452
2028,1,"alt_global",625.325806451613
2029,1,"alt_global",625.81935483871
2031,1,"alt_global",373.59375
2032,1,"alt_global",482.1
2001,2,"alt_global",815.660869565217
2002,2,"alt_global",1017.06944444444
2003,2,"alt_global",-296.796296296296
2004,2,"alt_global",851.856630824373
2006,2,"alt_global",869.66875
