"Subject","type","bin","mean"
25,"rand_switch",3,1030.3
25,"rand_switch",4,1137.9
25,"rand_switch",5,1268.22222222222
25,"rand_switch",6,1717.11111111111
26,"alt_ns",1,660
26,"alt_ns",2,728.888888888889
26,"alt_ns",3,806.666666666667
26,"alt_ns",4,907.333333333333
26,"alt_ns",5,1091.11111111111
26,"alt_ns",6,1514.33333333333
26,"alt_switch",1,738.444444444444
26,"alt_switch",2,878.444444444444
26,"alt_switch",3,1030.55555555556
26,"alt_switch",4,1165.88888888889
26,"alt_switch",5,1447.22222222222
26,"alt_switch",6,1859.75
26,"pure",1,426.125
26,"pure",2,487.78125
26,"pure",3,539.967741935484
26,"pure",4,584.387096774194
26,"pure",5,661.967741935484
26,"pure",6,1077.45161290323
26,"rand_ns",1,605.7
26,"rand_ns",2,705.5
26,"rand_ns",3,775.888888888889
26,"rand_ns",4,880.111111111111
26,"rand_ns",5,995
26,"rand_ns",6,1375.88888888889
26,"rand_switch",1,781.4
26,"rand_switch",2,1019.4
26,"rand_switch",3,1139.3
26,"rand_switch",4,1300.55555555556
26,"rand_switch",5,1495.22222222222
26,"rand_switch",6,1907.22222222222
27,"alt_ns",1,784.111111111111
27,"alt_ns",2,856.111111111111
27,"alt_ns",3,1061.66666666667
27,"alt_ns",4,1317.11111111111
27,"alt_ns",5,1931.44444444444
27,"alt_ns",6,3326.375
27,"alt_switch",1,829.625
27,"alt_switch",2,940.5
27,"alt_switch",3,1109.625
27,"alt_switch",4,1276.5
27,"alt_switch",5,1466.75
27,"alt_switch",6,2388.5
27,"pure",1,451.857142857143
27,"pure",2,563.535714285714
27,"pure",3,640.392857142857
27,"pure",4,760.321428571429
27,"pure",5,925.607142857143
27,"pure",6,2194.88888888889
27,"rand_ns",1,687.3
27,"rand_ns",2,815.111111111111
27,"rand_ns",3,940.333333333333
27,"rand_ns",4,1240.44444444444
27,"rand_ns",5,1665.66666666667
27,"rand_ns",6,3171.55555555556
27,"rand_switch",1,743.7
27,"rand_switch",2,900.4
27,"rand_switch",3,1002.2
27,"rand_switch",4,1285.5
27,"rand_switch",5,1777.88888888889
27,"rand_switch",6,2784.88888888889
28,"alt_ns",1,886.2
28,"alt_ns",2,1077.22222222222
28,"alt_ns",3,1186.33333333333
28,"alt_ns",4,1282.22222222222
28,"alt_ns",5,1522.44444444444
28,"alt_ns",6,2099.44444444444
28,"alt_switch",1,1021.77777777778
28,"alt_switch",2,1191.55555555556
28,"alt_switch",3,1330.77777777778
28,"alt_switch",4,1478.33333333333
28,"alt_switch",5,1665.375
28,"alt_switch",6,2018
28,"pure",1,505.806451612903
28,"pure",2,574.233333333333
28,"pure",3,614.566666666667
28,"pure",4,653.466666666667
28,"pure",5,730.633333333333
28,"pure",6,997.6
28,"rand_ns",1,712.1
28,"rand_ns",2,932.333333333333
28,"rand_ns",3,1140.66666666667
28,"rand_ns",4,1286
28,"rand_ns",5,1603.55555555556
28,"rand_ns",6,2119
28,"rand_switch",1,915.444444444444
28,"rand_switch",2,1342.11111111111
28,"rand_switch",3,1600.44444444444
28,"rand_switch",4,1730
28,"rand_switch",5,1923.75
28,"rand_switch",6,2347.125
29,"alt_ns",1,753.1
29,"alt_ns",2,855.6
29,"alt_ns",3,940.7
29,"alt_ns",4,1021.55555555556
29,"alt_ns",5,1261.11111111111
29,"alt_ns",6,2098.55555555556
29,"alt_switch",1,743.9
29,"alt_switch",2,844.333333333333
29,"alt_switch",3,953
29,"alt_switch",4,1113.44444444444
29,"alt_switch",5,1401.88888888889
29,"alt_switch",6,1913.22222222222
29,"pure",1,407.03125
29,"pure",2,471.25
29,"pure",3,522.612903225806
29,"pure",4,565.225806451613
29,"pure",5,640.774193548387
29,"pure",6,985.870967741935
29,"rand_ns",1,673.777777777778
29,"rand_ns",2,763.444444444444
29,"rand_ns",3,821.555555555556
29,"rand_ns",4,917
29,"rand_ns",5,1209.44444444444
29,"rand_ns",6,1902.11111111111
29,"rand_switch",1,729.111111111111
29,"rand_switch",2,858.888888888889
29,"rand_switch",3,1050.11111111111
29,"rand_switch",4,1325.88888888889
29,"rand_switch",5,1533.66666666667
29,"rand_switch",6,2135
30,"alt_ns",1,919.4
30,"alt_ns",2,1271.77777777778
30,"alt_ns",3,1589.55555555556
30,"alt_ns",4,1810.55555555556
30,"alt_ns",5,2177
30,"alt_ns",6,3367.11111111111
30,"alt_switch",1,988.444444444444
30,"alt_switch",2,1215.11111111111
30,"alt_switch",3,1372.55555555556
30,"alt_switch",4,1624.11111111111
30,"alt_switch",5,2095.88888888889
30,"alt_switch",6,3150.11111111111
30,"pure",1,361.233333333333
30,"pure",2,430.866666666667
30,"pure",3,476.566666666667
30,"pure",4,548.633333333333
30,"pure",5,675.533333333333
30,"pure",6,1619.86666666667
30,"rand_ns",1,940.1
30,"rand_ns",2,1212.2
30,"rand_ns",3,1541.4
30,"rand_ns",4,1919.3
30,"rand_ns",5,2362.1
30,"rand_ns",6,3920
30,"rand_switch",1,1145.7
30,"rand_switch",2,1484.5
30,"rand_switch",3,1726.4
30,"rand_switch",4,2050.7
30,"rand_switch",5,2601.11111111111
30,"rand_switch",6,3541.66666666667
